score	chembl_id	target_type	organism	tax_id	targ_comp
731	CHEMBL2094139	PROTEIN COMPLEX	Escherichia coli K-12	83333	166
731	CHEMBL1858	SINGLE PROTEIN	Escherichia coli K-12	83333	166
729	CHEMBL2311225	PROTEIN COMPLEX	Streptococcus pneumoniae	1313	7268
727	CHEMBL6106	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4657
722	CHEMBL1293272	SINGLE PROTEIN	Escherichia coli	562	4974
718	CHEMBL1741204	SINGLE PROTEIN	Yersinia pseudotuberculosis serotype I (strain IP32953)	273123	5393
697	CHEMBL6061	SINGLE PROTEIN	Mycobacterium smegmatis	1772	4595
697	CHEMBL1075103	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3956
695	CHEMBL2311244	PROTEIN COMPLEX	Neisseria gonorrhoeae	485	7270
692	CHEMBL4621	SINGLE PROTEIN	Escherichia coli K-12	83333	2938
687	CHEMBL4165	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	2485
687	CHEMBL5926	SINGLE PROTEIN	Trypanosoma cruzi	5693	4421
679	CHEMBL2366435	SINGLE PROTEIN	Phytophthora sojae	67593	7990
659	CHEMBL2366438	SINGLE PROTEIN	Alopecurus japonicus	649009	7993
639	CHEMBL6072	SINGLE PROTEIN	Plasmodium falciparum	5833	4606
633	CHEMBL2311244	PROTEIN COMPLEX	Neisseria gonorrhoeae	485	7271
628	CHEMBL1075250	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4557
623	CHEMBL2094139	PROTEIN COMPLEX	Escherichia coli K-12	83333	123
623	CHEMBL2311224	PROTEIN COMPLEX	Bacteria	2	123
623	CHEMBL1826	SINGLE PROTEIN	Escherichia coli K-12	83333	123
621	CHEMBL1287603	SINGLE PROTEIN	Escherichia coli	562	5299
617	CHEMBL2366567	PROTEIN COMPLEX	Spinacia oleracea	3562	8083
578	CHEMBL4137	SINGLE PROTEIN	Leishmania mexicana	5665	2456
572	CHEMBL2331040	PROTEIN COMPLEX	Staphylococcus epidermidis	1282	7272
562	CHEMBL6059	SINGLE PROTEIN	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	246196	4593
562	CHEMBL3085613	SINGLE PROTEIN	Mycobacterium smegmatis	1772	8247
560	CHEMBL1741212	SINGLE PROTEIN	Plasmodium berghei	5821	5435
560	CHEMBL3038482	PROTEIN COMPLEX	Staphylococcus aureus	1280	5653
560	CHEMBL1921666	SINGLE PROTEIN	Staphylococcus aureus	1280	5653
551	CHEMBL5283	SINGLE PROTEIN	Bacillus subtilis (strain 168)	224308	3580
549	CHEMBL2364166	PROTEIN COMPLEX	Mycobacterium tuberculosis	1773	7810
514	CHEMBL2366567	PROTEIN COMPLEX	Spinacia oleracea	3562	8134
512	CHEMBL1795092	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	5056
510	CHEMBL2674	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	1010
509	CHEMBL2364166	PROTEIN COMPLEX	Mycobacterium tuberculosis	1773	7811
506	CHEMBL5648	SINGLE PROTEIN	Plasmodium falciparum	5833	3958
498	CHEMBL1250406	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5474
498	CHEMBL5833	SINGLE PROTEIN	Trypanosoma cruzi	5693	4277
494	CHEMBL2311235	SINGLE PROTEIN	Yersinia pestis	632	7221
493	CHEMBL5858	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	4318
485	CHEMBL2163181	SINGLE PROTEIN	Staphylococcus aureus	1280	6860
482	CHEMBL4298	SINGLE PROTEIN	Escherichia coli K-12	83333	2615
458	CHEMBL3259513	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8597
454	CHEMBL1075249	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5251
454	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7613
434	CHEMBL1795082	SINGLE PROTEIN	Yersinia pestis	632	5046
434	CHEMBL6110	SINGLE PROTEIN	Schistosoma mansoni	6183	4661
433	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7425
424	CHEMBL2259249	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	7177
423	CHEMBL2366571	PROTEIN COMPLEX	Pisum sativum	3888	8099
423	CHEMBL2366570	PROTEIN COMPLEX	Vigna radiata var. radiata	3916	8099
412	CHEMBL3217381	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8483
410	CHEMBL6077	SINGLE PROTEIN	Plasmodium falciparum	5833	4611
405	CHEMBL1741265	SINGLE PROTEIN	Plasmodium berghei str. ANKA	5823	5259
398	CHEMBL5834	SINGLE PROTEIN	Trypanosoma cruzi	5693	4278
394	CHEMBL3434	SINGLE PROTEIN	Escherichia coli K-12	83333	1756
381	CHEMBL4512	SINGLE PROTEIN	Plasmodium falciparum	5833	2829
380	CHEMBL2285355	SINGLE PROTEIN	Arabidopsis thaliana	3702	7196
379	CHEMBL2189162	SINGLE PROTEIN	Staphylococcus aureus (strain MRSA252)	282458	7131
375	CHEMBL5341	SINGLE PROTEIN	Staphylococcus aureus	1280	3637
373	CHEMBL1641342	SINGLE PROTEIN	Geobacillus stearothermophilus	1422	5267
372	CHEMBL5372	SINGLE PROTEIN	Staphylococcus aureus subsp. aureus MW2	196620	3668
369	CHEMBL4043	SINGLE PROTEIN	Enterococcus faecalis (strain ATCC 700802 / V583)	226185	2362
366	CHEMBL1250368	SINGLE PROTEIN	Toxoplasma gondii	5811	5226
366	CHEMBL2526	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	865
364	CHEMBL1741205	SINGLE PROTEIN	Methanococcus maripaludis (strain S2 / LL)	267377	5429
361	CHEMBL1641341	SINGLE PROTEIN	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	300852	5266
361	CHEMBL2366473	SINGLE PROTEIN	Caenorhabditis elegans	6239	8028
355	CHEMBL1982	SINGLE PROTEIN	Staphylococcus aureus	1280	305
353	CHEMBL5091	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	3399
353	CHEMBL4222	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	2541
346	CHEMBL2366571	PROTEIN COMPLEX	Pisum sativum	3888	8098
346	CHEMBL2366570	PROTEIN COMPLEX	Vigna radiata var. radiata	3916	8098
340	CHEMBL1741171	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	5216
335	CHEMBL5886	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	4360
335	CHEMBL4255	SINGLE PROTEIN	Thermus thermophilus	274	2574
329	CHEMBL2364671	SINGLE PROTEIN	Streptococcus pyogenes	1314	7856
328	CHEMBL2176851	SINGLE PROTEIN	Bacillus anthracis	1392	7065
319	CHEMBL3657	SINGLE PROTEIN	Escherichia coli K-12	83333	1973
318	CHEMBL3564	SINGLE PROTEIN	Thermus aquaticus	271	1885
311	CHEMBL1741173	SINGLE PROTEIN	Leuconostoc mesenteroides	1245	5217
311	CHEMBL2285354	SINGLE PROTEIN	Arabidopsis thaliana	3702	7195
306	CHEMBL5643	SINGLE PROTEIN	Staphylococcus aureus	1280	3943
305	CHEMBL613815	PROTEIN COMPLEX	Septoria tritici	1047171	7145
305	CHEMBL4094	SINGLE PROTEIN	Synechocystis sp. (strain PCC 6803 / Kazusa)	1111708	2413
304	CHEMBL3436	SINGLE PROTEIN	Staphylococcus aureus	1280	1758
301	CHEMBL3286084	SINGLE PROTEIN	Vibrio cholerae serotype O1 (strain M66-2)	579112	8629
297	CHEMBL2390811	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	8160
296	CHEMBL4511	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	208964	2828
294	CHEMBL3286085	SINGLE PROTEIN	Yersinia enterocolitica W22703	913028	8630
289	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7465
287	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7643
287	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7771
285	CHEMBL4119	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	2437
284	CHEMBL3286086	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	208964	8631
283	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7716
283	CHEMBL3367	SINGLE PROTEIN	Escherichia coli K-12	83333	1689
281	CHEMBL1293285	SINGLE PROTEIN	Escherichia coli K-12	83333	5009
280	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7517
277	CHEMBL3671	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	1986
276	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7544
275	CHEMBL5039	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	3350
275	CHEMBL4690	SINGLE PROTEIN	Streptococcus pyogenes serotype M18 (strain MGAS8232)	186103	3008
274	CHEMBL1795135	SINGLE PROTEIN	Escherichia coli	562	5732
274	CHEMBL4914	SINGLE PROTEIN	Escherichia coli K-12	83333	3227
271	CHEMBL3840	SINGLE PROTEIN	Herpes simplex virus (type 1 / strain 17)	10299	2157
268	CHEMBL4091	SINGLE PROTEIN	Escherichia coli K-12	83333	2410
266	CHEMBL5677	SINGLE PROTEIN	Escherichia coli	562	3987
262	CHEMBL2363033	PROTEIN COMPLEX	Streptococcus pneumoniae	1313	7378
262	CHEMBL1293279	SINGLE PROTEIN	Schistosoma mansoni	6183	5040
261	CHEMBL2987	SINGLE PROTEIN	Zymomonas mobilis (strain ATCC 31821 / ZM4 / CP4)	264203	1318
259	CHEMBL3822	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	2140
259	CHEMBL2366573	PROTEIN FAMILY	Hordeum vulgare	4513	8115
258	CHEMBL2366573	PROTEIN FAMILY	Hordeum vulgare	4513	8114
258	CHEMBL1641340	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	5265
254	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7575
251	CHEMBL3286082	SINGLE PROTEIN	Pisum sativum	3888	8627
250	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7707
249	CHEMBL2366474	SINGLE PROTEIN	Secale cereale	4550	8029
248	CHEMBL2097174	PROTEIN COMPLEX	Staphylococcus aureus subsp. aureus Mu50	158878	924
248	CHEMBL3286081	SINGLE PROTEIN	Wolbachia sp. subsp. Brugia malayi (strain TRS)	292805	8626
248	CHEMBL2589	SINGLE PROTEIN	Staphylococcus aureus subsp. aureus Mu50	158878	924
244	CHEMBL4544	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	2861
243	CHEMBL3673	SINGLE PROTEIN	Staphylococcus aureus subsp. aureus Mu50	158878	1988
242	CHEMBL5630	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	3930
240	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7438
240	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7762
239	CHEMBL4541	SINGLE PROTEIN	Staphylococcus aureus subsp. aureus N315	158879	2858
238	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7507
237	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7617
236	CHEMBL2346487	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	7308
234	CHEMBL2150841	SINGLE PROTEIN	Staphylococcus aureus	1280	6831
234	CHEMBL3038508	PROTEIN COMPLEX	Staphylococcus aureus	1280	6831
232	CHEMBL2363033	PROTEIN COMPLEX	Streptococcus pneumoniae	1313	7379
228	CHEMBL4968	SINGLE PROTEIN	Plasmodium falciparum	5833	3280
228	CHEMBL4543	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	2860
227	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7500
226	CHEMBL3286083	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8628
225	CHEMBL4913	SINGLE PROTEIN	Escherichia coli K-12	83333	3226
225	CHEMBL2010623	SINGLE PROTEIN	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	246196	5812
225	CHEMBL2176838	SINGLE PROTEIN	Xenopus laevis	8355	7052
222	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7748
221	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7455
221	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7559
219	CHEMBL2424511	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8216
219	CHEMBL2146309	SINGLE PROTEIN	Bacillus subtilis (strain 168)	224308	6776
217	CHEMBL4513	SINGLE PROTEIN	Plasmodium falciparum	5833	2830
215	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7633
213	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7690
213	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7566
213	CHEMBL3701	SINGLE PROTEIN	Luciola lateralis	7052	2016
213	CHEMBL5150	SINGLE PROTEIN	Photuris pennsylvanica	41716	3454
212	CHEMBL1932910	SINGLE PROTEIN	Staphylococcus aureus (strain NCTC 8325)	93061	5749
212	CHEMBL3423	SINGLE PROTEIN	Escherichia coli K-12	83333	1745
211	CHEMBL1697664	SINGLE PROTEIN	Mycobacterium smegmatis	1772	4875
210	CHEMBL5567	SINGLE PROTEIN	Photinus pyralis	7054	3858
210	CHEMBL1741192	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	5382
210	CHEMBL4668	SINGLE PROTEIN	Toxoplasma gondii	5811	2986
208	CHEMBL4636	SINGLE PROTEIN	Candida albicans	5476	2953
207	CHEMBL3286087	SINGLE PROTEIN	Drosophila melanogaster	7227	8632
206	CHEMBL1938218	SINGLE PROTEIN	Neisseria meningitidis serogroup B (strain MC58)	122586	5756
206	CHEMBL5168	SINGLE PROTEIN	Escherichia coli K-12	83333	3472
205	CHEMBL1984	SINGLE PROTEIN	Escherichia coli K-12	83333	310
205	CHEMBL1293247	SINGLE PROTEIN	Photuris pennsylvanica	41716	4924
205	CHEMBL1681625	SINGLE PROTEIN	Photinus pyralis	7054	4952
204	CHEMBL1744527	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	4916
202	CHEMBL5070	SINGLE PROTEIN	Enterococcus faecalis (strain ATCC 700802 / V583)	226185	3379
197	CHEMBL3672	SINGLE PROTEIN	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)	198466	1987
196	CHEMBL1667673	SINGLE PROTEIN	Issatchenkia orientalis	4909	5454
193	CHEMBL1697658	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4870
192	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7697
192	CHEMBL1075025	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	4040
192	CHEMBL3957	SINGLE PROTEIN	Escherichia coli K-12	83333	2276
191	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7596
189	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7727
188	CHEMBL1075258	SINGLE PROTEIN	Staphylococcus aureus	1280	4565
188	CHEMBL2364672	PROTEIN COMPLEX	Bacteria	2	7857
187	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7537
185	CHEMBL1075208	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	208964	4406
185	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7783
184	CHEMBL4857	SINGLE PROTEIN	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	186497	3173
184	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7428
183	CHEMBL3640	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	1957
182	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7563
182	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7442
182	CHEMBL1641336	SINGLE PROTEIN	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	100226	5261
181	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7655
180	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7605
179	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7486
179	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7621
179	CHEMBL3110	SINGLE PROTEIN	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	99287	1437
179	CHEMBL2363852	PROTEIN COMPLEX	Clostridium difficile	1496	7482
179	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7689
179	CHEMBL3855	SINGLE PROTEIN	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)	208964	2172
177	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7476
176	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7509
175	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7557
175	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7616
175	CHEMBL2095232	PROTEIN COMPLEX	Escherichia coli (strain K12)	83333	5214
173	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7756
173	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7504
172	CHEMBL1770042	SINGLE PROTEIN	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	177416	5422
172	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7699
172	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7489
171	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7736
171	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	238
171	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7694
171	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7547
170	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7678
170	CHEMBL2363020	PROTEIN FAMILY	Pseudomonas aeruginosa	287	3525
170	CHEMBL5225	SINGLE PROTEIN	Pseudomonas aeruginosa	287	3525
169	CHEMBL1770035	SINGLE PROTEIN	Staphylococcus aureus	1280	5415
168	CHEMBL4732	SINGLE PROTEIN	Escherichia coli K-12	83333	3049
167	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7752
167	CHEMBL4359	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	2676
167	CHEMBL4623	SINGLE PROTEIN	Staphylococcus aureus	1280	2940
166	CHEMBL2363020	PROTEIN FAMILY	Pseudomonas aeruginosa	287	7363
166	CHEMBL4089	SINGLE PROTEIN	Staphylococcus aureus	1280	2408
166	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7703
164	CHEMBL5033	SINGLE PROTEIN	Escherichia coli K-12	83333	3344
162	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7677
162	CHEMBL5244	SINGLE PROTEIN	Escherichia coli K-12	83333	5117
162	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7497
160	CHEMBL2285353	SINGLE PROTEIN	Arabidopsis thaliana	3702	7194
160	CHEMBL1075151	SINGLE PROTEIN	Bacillus subtilis (strain 168)	224308	4182
160	CHEMBL2354204	PROTEIN FAMILY	Bacteria	2	90
159	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7701
156	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7538
156	CHEMBL6037	SINGLE PROTEIN	Enterococcus faecium	1352	4571
156	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7757
156	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7475
155	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7725
155	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7653
155	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7511
155	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7625
154	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7784
153	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7728
152	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7571
152	CHEMBL3554	SINGLE PROTEIN	Escherichia coli K-12	83333	1875
152	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7502
152	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7750
151	CHEMBL1075040	SINGLE PROTEIN	Aquifex aeolicus (strain VF5)	224324	4103
150	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7568
150	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7447
150	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7656
149	CHEMBL2030	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	367
149	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7586
149	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7526
147	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7692
147	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7449
147	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7781
146	CHEMBL3641	SINGLE PROTEIN	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)	176279	1958
146	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7597
146	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7448
146	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7488
