score	chembl_id	target_type	organism	tax_id	targ_comp
991	CHEMBL1944500	SINGLE PROTEIN	Leishmania amazonensis	5659	5609
986	CHEMBL5149	SINGLE PROTEIN	Leishmania mexicana	5665	3453
980	CHEMBL1944501	SINGLE PROTEIN	Leishmania infantum	5671	5610
977	CHEMBL6147	SINGLE PROTEIN	Plasmodium falciparum	5833	4712
968	CHEMBL5686	SINGLE PROTEIN	Trypanosoma brucei	5691	4008
967	CHEMBL1741201	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	5390
959	CHEMBL2176840	SINGLE PROTEIN	Leishmania donovani	5661	7054
935	CHEMBL1293190	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	4840
935	CHEMBL4188	SINGLE PROTEIN	Trypanosoma brucei rhodesiense	31286	2507
935	CHEMBL5541	SINGLE PROTEIN	Plasmodium falciparum	5833	3832
921	CHEMBL3301561	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8665
918	CHEMBL1255136	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	4816
905	CHEMBL3697	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	2012
901	CHEMBL5186	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3488
899	CHEMBL2362982	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	7328
895	CHEMBL2146316	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	6783
890	CHEMBL1741167	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	5212
880	CHEMBL1949483	SINGLE PROTEIN	Leishmania major	5664	5655
865	CHEMBL5223	SINGLE PROTEIN	Leishmania major	5664	3523
860	CHEMBL5131	SINGLE PROTEIN	Trypanosoma cruzi	5693	3435
852	CHEMBL1293251	SINGLE PROTEIN	Candida albicans (strain WO-1) (Yeast)	294748	4926
849	CHEMBL1075110	SINGLE PROTEIN	Trypanosoma cruzi (strain CL Brener)	353153	4000
837	CHEMBL4199	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	2518
832	CHEMBL5394	SINGLE PROTEIN	Crithidia fasciculata	5656	3689
828	CHEMBL3536	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	1857
826	CHEMBL1908387	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	5555
826	CHEMBL2189146	SINGLE PROTEIN	Plasmodium falciparum (isolate K1 / Thailand)	5839	7115
824	CHEMBL1795149	SINGLE PROTEIN	Plasmodium falciparum	5833	5636
818	CHEMBL1169595	SINGLE PROTEIN	Trypanosoma brucei	5691	5124
805	CHEMBL3301469	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8661
795	CHEMBL2363852	PROTEIN COMPLEX	Clostridium difficile	1496	7483
793	CHEMBL2364705	PROTEIN COMPLEX GROUP	Nematoda	6231	7940
790	CHEMBL1163130	SINGLE PROTEIN	Trypanosoma cruzi	5693	5506
788	CHEMBL1641360	SINGLE PROTEIN	Glycine max	3847	5361
781	CHEMBL5036	SINGLE PROTEIN	Eimeria tenella	5802	3347
774	CHEMBL1667688	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	5080
769	CHEMBL5228	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	3528
767	CHEMBL4916	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	3229
767	CHEMBL2006	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	337
755	CHEMBL2150832	SINGLE PROTEIN	Leishmania major	5664	6822
745	CHEMBL1781869	SINGLE PROTEIN	Manduca sexta	7130	4993
744	CHEMBL3108659	SINGLE PROTEIN	Trypanosoma cruzi	5693	8305
743	CHEMBL1075156	SINGLE PROTEIN	Trypanosoma brucei	5691	4238
743	CHEMBL2424507	SINGLE PROTEIN	Toxoplasma gondii	5811	8212
743	CHEMBL2311227	SINGLE PROTEIN	Leishmania major	5664	7213
742	CHEMBL3693	SINGLE PROTEIN	Leishmania donovani	5661	2008
739	CHEMBL4156	SINGLE PROTEIN	Plasmodium falciparum	5833	2476
737	CHEMBL1075253	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4560
732	CHEMBL2770	SINGLE PROTEIN	Gallus gallus	9031	1103
728	CHEMBL4509	SINGLE PROTEIN	Leishmania mexicana	5665	2826
727	CHEMBL6106	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4657
722	CHEMBL1293272	SINGLE PROTEIN	Escherichia coli	562	4974
718	CHEMBL1075193	SINGLE PROTEIN	Trypanosoma brucei	5691	4353
718	CHEMBL1741204	SINGLE PROTEIN	Yersinia pseudotuberculosis serotype I (strain IP32953)	273123	5393
703	CHEMBL5832	SINGLE PROTEIN	Trypanosoma brucei	5691	4276
700	CHEMBL3307222	SINGLE PROTEIN	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete'sfoot fungus)	559305	8667
697	CHEMBL1075103	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3956
687	CHEMBL5926	SINGLE PROTEIN	Trypanosoma cruzi	5693	4421
686	CHEMBL4151	SINGLE PROTEIN	Trypanosoma cruzi	5693	2471
679	CHEMBL2366435	SINGLE PROTEIN	Phytophthora sojae	67593	7990
677	CHEMBL5170	SINGLE PROTEIN	Xenopus laevis	8355	3474
659	CHEMBL2366438	SINGLE PROTEIN	Alopecurus japonicus	649009	7993
654	CHEMBL2311240	SINGLE PROTEIN	Leishmania infantum	5671	7226
647	CHEMBL3108635	SINGLE PROTEIN	Leishmania amazonensis	5659	8281
640	CHEMBL2169723	SINGLE PROTEIN	Leishmania major	5664	6873
639	CHEMBL6072	SINGLE PROTEIN	Plasmodium falciparum	5833	4606
637	CHEMBL6071	SINGLE PROTEIN	Plasmodium falciparum	5833	4605
635	CHEMBL2601	SINGLE PROTEIN	Trypanosoma brucei	5691	936
634	CHEMBL5673	SINGLE PROTEIN	Drosophila melanogaster	7227	3983
631	CHEMBL3821	SINGLE PROTEIN	Leishmania mexicana	5665	2139
628	CHEMBL1075250	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4557
627	CHEMBL3626	SINGLE PROTEIN	Cryptosporidium parvum	5807	1943
617	CHEMBL2366567	PROTEIN COMPLEX	Spinacia oleracea	3562	8083
595	CHEMBL3259514	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8598
588	CHEMBL6194	SINGLE PROTEIN	Leishmania major	5664	4773
584	CHEMBL4751	SINGLE PROTEIN	Leishmania donovani	5661	3067
581	CHEMBL2424501	SINGLE PROTEIN	Arabidopsis thaliana	3702	8206
578	CHEMBL4137	SINGLE PROTEIN	Leishmania mexicana	5665	2456
560	CHEMBL1741212	SINGLE PROTEIN	Plasmodium berghei	5821	5435
554	CHEMBL4418	SINGLE PROTEIN	Leishmania major	5664	2734
549	CHEMBL2364166	PROTEIN COMPLEX	Mycobacterium tuberculosis	1773	7810
543	CHEMBL2169725	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	6875
543	CHEMBL2683	SINGLE PROTEIN	Gallus gallus	9031	1019
539	CHEMBL2169722	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	6872
530	CHEMBL4752	SINGLE PROTEIN	Trypanosoma cruzi	5693	3068
525	CHEMBL3563	SINGLE PROTEIN	Trypanosoma cruzi	5693	1884
524	CHEMBL5356	SINGLE PROTEIN	Arabidopsis thaliana	3702	3652
520	CHEMBL2150834	SINGLE PROTEIN	Leishmania major	5664	6824
520	CHEMBL2189141	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	7110
516	CHEMBL6073	SINGLE PROTEIN	Plasmodium falciparum	5833	4607
514	CHEMBL2366567	PROTEIN COMPLEX	Spinacia oleracea	3562	8134
512	CHEMBL1795092	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	5056
510	CHEMBL2674	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	1010
509	CHEMBL2364166	PROTEIN COMPLEX	Mycobacterium tuberculosis	1773	7811
507	CHEMBL1075204	SINGLE PROTEIN	Pneumocystis carinii	4754	4402
506	CHEMBL5220	SINGLE PROTEIN	Trypanosoma cruzi (strain CL Brener)	353153	3520
498	CHEMBL1250406	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5474
498	CHEMBL5833	SINGLE PROTEIN	Trypanosoma cruzi	5693	4277
494	CHEMBL2311235	SINGLE PROTEIN	Yersinia pestis	632	7221
493	CHEMBL5858	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	4318
482	CHEMBL4298	SINGLE PROTEIN	Escherichia coli K-12	83333	2615
479	CHEMBL2097172	SELECTIVITY GROUP	Toxoplasma gondii	5811	766
479	CHEMBL2425	SINGLE PROTEIN	Toxoplasma gondii	5811	766
477	CHEMBL2366458	SINGLE PROTEIN	Arabidopsis thaliana	3702	8013
472	CHEMBL1741170	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5215
469	CHEMBL6076	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	4610
468	CHEMBL6039	SINGLE PROTEIN	Drosophila melanogaster	7227	4573
464	CHEMBL1681621	SINGLE PROTEIN	Trypanosoma cruzi	5693	4948
458	CHEMBL3259513	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8597
454	CHEMBL1075249	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5251
452	CHEMBL6134	SINGLE PROTEIN	Trypanosoma vivax	5699	4699
449	CHEMBL5173	SINGLE PROTEIN	Plasmodium falciparum	5833	3477
446	CHEMBL1781866	SINGLE PROTEIN	Gallus gallus	9031	5109
442	CHEMBL5355	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3651
441	CHEMBL1075267	SINGLE PROTEIN	Mesocricetus auratus	10036	4617
441	CHEMBL1075255	SINGLE PROTEIN	Schizosaccharomyces pombe 972h-	284812	4562
439	CHEMBL5265	SINGLE PROTEIN	Chlorocebus aethiops	9534	3563
437	CHEMBL5948	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4443
437	CHEMBL4514	SINGLE PROTEIN	Zea mays	4577	2831
434	CHEMBL1795082	SINGLE PROTEIN	Yersinia pestis	632	5046
434	CHEMBL6110	SINGLE PROTEIN	Schistosoma mansoni	6183	4661
427	CHEMBL6043	SINGLE PROTEIN	Elizabethkingia meningoseptica	238	4577
427	CHEMBL5069	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	3378
425	CHEMBL1293271	SINGLE PROTEIN	Candida dubliniensis (strain CD36 / CBS 7987 / NCPF 3949 / NRRLY-17841) (Yeast)	573826	4973
423	CHEMBL2366570	PROTEIN COMPLEX	Vigna radiata var. radiata	3916	8099
423	CHEMBL2366571	PROTEIN COMPLEX	Pisum sativum	3888	8099
422	CHEMBL3286080	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8625
421	CHEMBL1781867	SINGLE PROTEIN	Dictyostelium discoideum	44689	4991
417	CHEMBL1075056	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	4119
417	CHEMBL1163121	SINGLE PROTEIN	Schizosaccharomyces pombe 972h-	284812	4786
415	CHEMBL1781862	SINGLE PROTEIN	Toxoplasma gondii	5811	4906
412	CHEMBL3217381	SINGLE PROTEIN	Escherichia coli (strain K12)	83333	8483
410	CHEMBL6077	SINGLE PROTEIN	Plasmodium falciparum	5833	4611
407	CHEMBL2366489	SINGLE PROTEIN	Cryptosporidium parvum	5807	8044
407	CHEMBL3327	SINGLE PROTEIN	Cryptosporidium hominis	237895	1647
405	CHEMBL2052030	SINGLE PROTEIN	Plasmodium falciparum	5833	5867
398	CHEMBL5834	SINGLE PROTEIN	Trypanosoma cruzi	5693	4278
394	CHEMBL3434	SINGLE PROTEIN	Escherichia coli K-12	83333	1756
380	CHEMBL2285355	SINGLE PROTEIN	Arabidopsis thaliana	3702	7196
379	CHEMBL2189162	SINGLE PROTEIN	Staphylococcus aureus (strain MRSA252)	282458	7131
376	CHEMBL3354	SINGLE PROTEIN	Crithidia fasciculata	5656	1676
375	CHEMBL5341	SINGLE PROTEIN	Staphylococcus aureus	1280	3637
373	CHEMBL1641342	SINGLE PROTEIN	Geobacillus stearothermophilus	1422	5267
372	CHEMBL5372	SINGLE PROTEIN	Staphylococcus aureus subsp. aureus MW2	196620	3668
369	CHEMBL4043	SINGLE PROTEIN	Enterococcus faecalis (strain ATCC 700802 / V583)	226185	2362
366	CHEMBL2526	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	865
364	CHEMBL1741205	SINGLE PROTEIN	Methanococcus maripaludis (strain S2 / LL)	267377	5429
363	CHEMBL3085612	SINGLE PROTEIN	Pneumocystis carinii	4754	8246
362	CHEMBL2366573	PROTEIN FAMILY	Hordeum vulgare	4513	8116
361	CHEMBL2366473	SINGLE PROTEIN	Caenorhabditis elegans	6239	8028
361	CHEMBL1641341	SINGLE PROTEIN	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	300852	5266
360	CHEMBL5621	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3922
355	CHEMBL1982	SINGLE PROTEIN	Staphylococcus aureus	1280	305
353	CHEMBL5091	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	3399
350	CHEMBL4009	SINGLE PROTEIN	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus)	10370	2328
346	CHEMBL2366571	PROTEIN COMPLEX	Pisum sativum	3888	8098
346	CHEMBL2366570	PROTEIN COMPLEX	Vigna radiata var. radiata	3916	8098
346	CHEMBL1075069	SINGLE PROTEIN	Emericella nidulans	162425	4168
344	CHEMBL2189145	SINGLE PROTEIN	Plasmodium falciparum (isolate K1 / Thailand)	5839	7114
344	CHEMBL1908388	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	5556
340	CHEMBL1741171	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	5216
337	CHEMBL1932908	SINGLE PROTEIN	Arabidopsis thaliana	3702	5747
335	CHEMBL4264	SINGLE PROTEIN	Arabidopsis thaliana	3702	2583
335	CHEMBL5886	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	4360
335	CHEMBL4255	SINGLE PROTEIN	Thermus thermophilus	274	2574
334	CHEMBL1075087	SINGLE PROTEIN	Glycine max	3847	4233
333	CHEMBL1293309	SINGLE PROTEIN	Oryza sativa Japonica Group	39947	5185
329	CHEMBL2364671	SINGLE PROTEIN	Streptococcus pyogenes	1314	7856
327	CHEMBL1163102	SINGLE PROTEIN	Oryza sativa Japonica Group	39947	5490
324	CHEMBL3548	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	1869
319	CHEMBL3657	SINGLE PROTEIN	Escherichia coli K-12	83333	1973
318	CHEMBL3564	SINGLE PROTEIN	Thermus aquaticus	271	1885
318	CHEMBL5484	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3776
314	CHEMBL2366423	SINGLE PROTEIN	Lolium perenne	4522	7978
311	CHEMBL1741173	SINGLE PROTEIN	Leuconostoc mesenteroides	1245	5217
307	CHEMBL5280	SINGLE PROTEIN	Oryza sativa Japonica Group	39947	3578
307	CHEMBL5560	SINGLE PROTEIN	Zea mays	4577	3851
306	CHEMBL3630	SINGLE PROTEIN	Escherichia coli K-12	83333	1947
305	CHEMBL2366486	SINGLE PROTEIN	Oryza sativa	4530	8041
305	CHEMBL613815	PROTEIN COMPLEX	Septoria tritici	1047171	7145
304	CHEMBL3436	SINGLE PROTEIN	Staphylococcus aureus	1280	1758
303	CHEMBL2285357	SINGLE PROTEIN	Zea mays	4577	7198
303	CHEMBL2366402	SINGLE PROTEIN	Spinacia oleracea	3562	7957
301	CHEMBL2366496	SINGLE PROTEIN	Nicotiana tabacum	4097	8051
298	CHEMBL2366513	SINGLE PROTEIN	Onchocerca volvulus	6282	8068
297	CHEMBL3541	SINGLE PROTEIN	Zea mays	4577	1862
289	CHEMBL4859	SINGLE PROTEIN	Varicella-zoster virus (strain Dumas) (HHV-3) (Human herpesvirus 3)	10338	3175
289	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7465
287	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7771
287	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7643
285	CHEMBL4119	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	2437
284	CHEMBL1075033	SINGLE PROTEIN	Triticum aestivum	4565	4048
284	CHEMBL2321612	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	7233
283	CHEMBL3367	SINGLE PROTEIN	Escherichia coli K-12	83333	1689
283	CHEMBL2364096	PROTEIN NUCLEIC-ACID COMPLEX	Staphylococcus aureus	1280	7716
282	CHEMBL5945	SINGLE PROTEIN	Spinacia oleracea	3562	4440
281	CHEMBL1075079	SINGLE PROTEIN	Escherichia coli K-12	83333	4225
281	CHEMBL3328	SINGLE PROTEIN	Trypanosoma cruzi (strain CL Brener)	353153	1648
280	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7517
280	CHEMBL1872	SINGLE PROTEIN	Herpes simplex virus (type 1 / strain 17)	10299	188
280	CHEMBL5944	SINGLE PROTEIN	Human herpesvirus 1 (strain KOS) (HHV-1) (Human herpes simplex virus1)	10306	4439
279	CHEMBL1075032	SINGLE PROTEIN	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	243274	4047
277	CHEMBL2364703	PROTEIN COMPLEX GROUP	Trichophyton	5550	7928
277	CHEMBL3671	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	1986
275	CHEMBL4690	SINGLE PROTEIN	Streptococcus pyogenes serotype M18 (strain MGAS8232)	186103	3008
275	CHEMBL5039	SINGLE PROTEIN	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	170187	3350
274	CHEMBL5218	SINGLE PROTEIN	Glycine max	3847	3518
271	CHEMBL3840	SINGLE PROTEIN	Herpes simplex virus (type 1 / strain 17)	10299	2157
269	CHEMBL2366495	SINGLE PROTEIN	Hordeum vulgare	4513	8050
268	CHEMBL2944	SINGLE PROTEIN	Gallus gallus	9031	1275
267	CHEMBL2364705	PROTEIN COMPLEX GROUP	Nematoda	6231	7939
266	CHEMBL1795160	SINGLE PROTEIN	Drosophila melanogaster	7227	5647
265	CHEMBL4519	SINGLE PROTEIN	Xenopus laevis	8355	2836
264	CHEMBL3271930	SINGLE PROTEIN	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559292	8603
262	CHEMBL1293279	SINGLE PROTEIN	Schistosoma mansoni	6183	5040
261	CHEMBL2987	SINGLE PROTEIN	Zymomonas mobilis (strain ATCC 31821 / ZM4 / CP4)	264203	1318
259	CHEMBL3822	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	2140
259	CHEMBL2366573	PROTEIN FAMILY	Hordeum vulgare	4513	8115
258	CHEMBL2366573	PROTEIN FAMILY	Hordeum vulgare	4513	8114
258	CHEMBL1641340	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	5265
255	CHEMBL1687678	SINGLE PROTEIN	Arabidopsis thaliana	3702	5237
254	CHEMBL2363965	PROTEIN NUCLEIC-ACID COMPLEX	Mycobacterium tuberculosis	1773	7575
254	CHEMBL3232689	SINGLE PROTEIN	Capra hircus	9925	8521
253	CHEMBL1741175	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5219
253	CHEMBL6145	SINGLE PROTEIN	Cryptosporidium parvum	5807	4710
249	CHEMBL2362984	SINGLE PROTEIN	Pediculus humanus	121225	7330
249	CHEMBL2366474	SINGLE PROTEIN	Secale cereale	4550	8029
249	CHEMBL4659	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	2977
248	CHEMBL2366426	SINGLE PROTEIN	Periplaneta americana	6978	7981
244	CHEMBL4544	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	2861
243	CHEMBL2366482	SINGLE PROTEIN	Sorghum bicolor	4558	8037
241	CHEMBL1075088	SINGLE PROTEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	4234
240	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7438
239	CHEMBL4854	SINGLE PROTEIN	Enterobacteria phage T3	10759	3170
239	CHEMBL5803	SINGLE PROTEIN	Plasmodium falciparum	5833	4216
237	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7617
236	CHEMBL2346487	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	7308
234	CHEMBL2366497	SINGLE PROTEIN	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)	237631	8052
229	CHEMBL1075083	SINGLE PROTEIN	Gallus gallus	9031	4229
228	CHEMBL5090	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	3398
228	CHEMBL1075072	SINGLE PROTEIN	Enterobacteria phage T7	10760	4171
228	CHEMBL4543	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	2860
227	CHEMBL2363853	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pneumoniae	1313	7500
226	CHEMBL3946	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	2265
225	CHEMBL2176838	SINGLE PROTEIN	Xenopus laevis	8355	7052
225	CHEMBL4913	SINGLE PROTEIN	Escherichia coli K-12	83333	3226
222	CHEMBL2364103	PROTEIN NUCLEIC-ACID COMPLEX	Streptococcus pyogenes	1314	7748
221	CHEMBL2363135	PROTEIN NUCLEIC-ACID COMPLEX	Bacteria	2	7455
219	CHEMBL1681623	SINGLE PROTEIN	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSCA1100) (Aspergillus fumigatus)	330879	4950
219	CHEMBL2424511	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8216
219	CHEMBL2242732	SINGLE PROTEIN	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)	237631	7161
219	CHEMBL1741185	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	5335
218	CHEMBL1681624	SINGLE PROTEIN	Neosartorya fumigata	746128	4951
217	CHEMBL4513	SINGLE PROTEIN	Plasmodium falciparum	5833	2830
215	CHEMBL2364022	PROTEIN NUCLEIC-ACID COMPLEX	Pseudomonas aeruginosa	287	7633
215	CHEMBL1780	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	71
213	CHEMBL3701	SINGLE PROTEIN	Luciola lateralis	7052	2016
213	CHEMBL1163109	SINGLE PROTEIN	Candida albicans	5476	5497
213	CHEMBL5150	SINGLE PROTEIN	Photuris pennsylvanica	41716	3454
212	CHEMBL3423	SINGLE PROTEIN	Escherichia coli K-12	83333	1745
211	CHEMBL1888	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	202
211	CHEMBL1697664	SINGLE PROTEIN	Mycobacterium smegmatis	1772	4875
211	CHEMBL6057	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4591
210	CHEMBL5567	SINGLE PROTEIN	Photinus pyralis	7054	3858
208	CHEMBL4636	SINGLE PROTEIN	Candida albicans	5476	2953
207	CHEMBL2366401	SINGLE PROTEIN	Penicillium digitatum	36651	7956
206	CHEMBL1163105	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	5493
205	CHEMBL1293247	SINGLE PROTEIN	Photuris pennsylvanica	41716	4924
205	CHEMBL1681625	SINGLE PROTEIN	Photinus pyralis	7054	4952
204	CHEMBL1697660	SINGLE PROTEIN	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse)(Baker's yeast)	643680	4871
204	CHEMBL1744527	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	4916
201	CHEMBL2366428	SINGLE PROTEIN	Pediculus humanus subsp. corporis	121224	7983
201	CHEMBL6051	SINGLE PROTEIN	Toxoplasma gondii	5811	4585
199	CHEMBL2366411	SINGLE PROTEIN	Zea mays	4577	7966
196	CHEMBL1667673	SINGLE PROTEIN	Issatchenkia orientalis	4909	5454
195	CHEMBL2364705	PROTEIN COMPLEX GROUP	Nematoda	6231	7938
195	CHEMBL2364679	SINGLE PROTEIN	Trichophyton	5550	7863
